phase,label,overrides,program,result,commits,cycles,ipc,redirects,icache_hit,icache_miss,dcache_hit,dcache_miss,study_geomean,big6_geomean
OAT,OAT/PHT_SIZE=256,"{""PHT_SIZE"": 256}",custom_riscv,PASS,12906,26091,0.494653,38,5184,8,5133,26,0.522850,0.540485
OAT,OAT/PHT_SIZE=256,"{""PHT_SIZE"": 256}",riscv_mem,PASS,8950,16531,0.541407,51,3284,9,3196,26,0.522850,0.540485
OAT,OAT/PHT_SIZE=256,"{""PHT_SIZE"": 256}",ilp_loop,PASS,40969,61548,0.665643,10,12297,3,0,0,0.522850,0.540485
OAT,OAT/PHT_SIZE=256,"{""PHT_SIZE"": 256}",matmul8,PASS,7780,13681,0.568672,82,2712,5,1065,24,0.522850,0.540485
OAT,OAT/PHT_SIZE=256,"{""PHT_SIZE"": 256}",mem_stream,PASS,98568,165058,0.597172,143,32974,3,32737,32,0.522850,0.540485
OAT,OAT/PHT_SIZE=256,"{""PHT_SIZE"": 256}",mix_bench,PASS,47269,114790,0.411787,6116,22530,4,8176,16,0.522850,0.540485
OAT,OAT/PHT_SIZE=512,"{""PHT_SIZE"": 512}",branch,PASS,8200,19142,0.428377,538,3610,3,0,0,0.522537,0.540131
OAT,OAT/PHT_SIZE=512,"{""PHT_SIZE"": 512}",custom_riscv,PASS,12906,26121,0.494085,43,5189,8,5133,26,0.522537,0.540131
OAT,OAT/PHT_SIZE=512,"{""PHT_SIZE"": 512}",riscv_mem,PASS,8950,16555,0.540622,56,3289,9,3197,26,0.522537,0.540131
OAT,OAT/PHT_SIZE=512,"{""PHT_SIZE"": 512}",ilp_loop,PASS,40969,61555,0.665567,11,12298,3,0,0,0.522537,0.540131
OAT,OAT/PHT_SIZE=512,"{""PHT_SIZE"": 512}",matmul8,PASS,7780,13689,0.568340,84,2714,5,1065,24,0.522537,0.540131
OAT,OAT/PHT_SIZE=512,"{""PHT_SIZE"": 512}",mem_stream,PASS,98568,165070,0.597128,145,32976,3,32737,32,0.522537,0.540131
OAT,OAT/PHT_SIZE=512,"{""PHT_SIZE"": 512}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522537,0.540131
OAT,OAT/PHT_SIZE=1024,"{""PHT_SIZE"": 1024}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/PHT_SIZE=1024,"{""PHT_SIZE"": 1024}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/PHT_SIZE=1024,"{""PHT_SIZE"": 1024}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/PHT_SIZE=1024,"{""PHT_SIZE"": 1024}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/PHT_SIZE=1024,"{""PHT_SIZE"": 1024}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/PHT_SIZE=1024,"{""PHT_SIZE"": 1024}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/PHT_SIZE=1024,"{""PHT_SIZE"": 1024}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/PHT_SIZE=2048,"{""PHT_SIZE"": 2048}",branch,PASS,8200,19180,0.427529,544,3616,3,0,0,0.521931,0.539578
OAT,OAT/PHT_SIZE=2048,"{""PHT_SIZE"": 2048}",custom_riscv,PASS,12906,26181,0.492953,53,5199,8,5133,26,0.521931,0.539578
OAT,OAT/PHT_SIZE=2048,"{""PHT_SIZE"": 2048}",riscv_mem,PASS,8950,16603,0.539059,66,3299,9,3198,26,0.521931,0.539578
OAT,OAT/PHT_SIZE=2048,"{""PHT_SIZE"": 2048}",ilp_loop,PASS,40969,61569,0.665416,13,12300,3,0,0,0.521931,0.539578
OAT,OAT/PHT_SIZE=2048,"{""PHT_SIZE"": 2048}",matmul8,PASS,7780,13697,0.568008,86,2716,5,1065,24,0.521931,0.539578
OAT,OAT/PHT_SIZE=2048,"{""PHT_SIZE"": 2048}",mem_stream,PASS,98568,165088,0.597063,148,32979,3,32737,32,0.521931,0.539578
OAT,OAT/PHT_SIZE=2048,"{""PHT_SIZE"": 2048}",mix_bench,PASS,47269,114858,0.411543,6133,22547,4,8176,16,0.521931,0.539578
OAT,OAT/BTB_SIZE=64,"{""BTB_SIZE"": 64}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/BTB_SIZE=64,"{""BTB_SIZE"": 64}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/BTB_SIZE=64,"{""BTB_SIZE"": 64}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/BTB_SIZE=64,"{""BTB_SIZE"": 64}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/BTB_SIZE=64,"{""BTB_SIZE"": 64}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/BTB_SIZE=64,"{""BTB_SIZE"": 64}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/BTB_SIZE=64,"{""BTB_SIZE"": 64}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/BTB_SIZE=128,"{""BTB_SIZE"": 128}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/BTB_SIZE=128,"{""BTB_SIZE"": 128}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/BTB_SIZE=128,"{""BTB_SIZE"": 128}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/BTB_SIZE=128,"{""BTB_SIZE"": 128}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/BTB_SIZE=128,"{""BTB_SIZE"": 128}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/BTB_SIZE=128,"{""BTB_SIZE"": 128}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/BTB_SIZE=128,"{""BTB_SIZE"": 128}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/BTB_SIZE=256,"{""BTB_SIZE"": 256}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/BTB_SIZE=256,"{""BTB_SIZE"": 256}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/BTB_SIZE=256,"{""BTB_SIZE"": 256}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/BTB_SIZE=256,"{""BTB_SIZE"": 256}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/BTB_SIZE=256,"{""BTB_SIZE"": 256}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/BTB_SIZE=256,"{""BTB_SIZE"": 256}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/BTB_SIZE=256,"{""BTB_SIZE"": 256}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/BTB_SIZE=512,"{""BTB_SIZE"": 512}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/BTB_SIZE=512,"{""BTB_SIZE"": 512}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/BTB_SIZE=512,"{""BTB_SIZE"": 512}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/BTB_SIZE=512,"{""BTB_SIZE"": 512}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/BTB_SIZE=512,"{""BTB_SIZE"": 512}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/BTB_SIZE=512,"{""BTB_SIZE"": 512}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/BTB_SIZE=512,"{""BTB_SIZE"": 512}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/CACHE_LINE_BYTES=16,"{""CACHE_LINE_BYTES"": 16}",branch,PASS,8200,19165,0.427863,540,3609,5,0,0,0.520960,0.538337
OAT,OAT/CACHE_LINE_BYTES=16,"{""CACHE_LINE_BYTES"": 16}",custom_riscv,PASS,12906,26324,0.490275,48,5198,16,5107,52,0.520960,0.538337
OAT,OAT/CACHE_LINE_BYTES=16,"{""CACHE_LINE_BYTES"": 16}",riscv_mem,PASS,8950,16658,0.537279,61,3286,17,3103,52,0.520960,0.538337
OAT,OAT/CACHE_LINE_BYTES=16,"{""CACHE_LINE_BYTES"": 16}",ilp_loop,PASS,40969,61584,0.665254,12,12297,5,0,0,0.520960,0.538337
OAT,OAT/CACHE_LINE_BYTES=16,"{""CACHE_LINE_BYTES"": 16}",matmul8,PASS,7780,13735,0.566436,86,2712,10,1041,48,0.520960,0.538337
OAT,OAT/CACHE_LINE_BYTES=16,"{""CACHE_LINE_BYTES"": 16}",mem_stream,PASS,98568,165264,0.596428,142,32982,5,32705,64,0.520960,0.538337
OAT,OAT/CACHE_LINE_BYTES=16,"{""CACHE_LINE_BYTES"": 16}",mix_bench,PASS,47269,114971,0.411138,6147,22557,7,8160,32,0.520960,0.538337
OAT,OAT/CACHE_LINE_BYTES=32,"{""CACHE_LINE_BYTES"": 32}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/CACHE_LINE_BYTES=32,"{""CACHE_LINE_BYTES"": 32}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/CACHE_LINE_BYTES=32,"{""CACHE_LINE_BYTES"": 32}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/CACHE_LINE_BYTES=32,"{""CACHE_LINE_BYTES"": 32}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/CACHE_LINE_BYTES=32,"{""CACHE_LINE_BYTES"": 32}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/CACHE_LINE_BYTES=32,"{""CACHE_LINE_BYTES"": 32}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/CACHE_LINE_BYTES=32,"{""CACHE_LINE_BYTES"": 32}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/CACHE_LINE_BYTES=64,"{""CACHE_LINE_BYTES"": 64}",branch,PASS,8200,19154,0.428109,540,3614,2,0,0,0.544648,0.571515
OAT,OAT/CACHE_LINE_BYTES=64,"{""CACHE_LINE_BYTES"": 64}",custom_riscv,TIMEOUT,,,,,,,,,0.544648,0.571515
OAT,OAT/CACHE_LINE_BYTES=64,"{""CACHE_LINE_BYTES"": 64}",riscv_mem,PASS,8950,13674,0.654527,61,2710,5,3159,13,0.544648,0.571515
OAT,OAT/CACHE_LINE_BYTES=64,"{""CACHE_LINE_BYTES"": 64}",ilp_loop,PASS,40969,61540,0.665730,12,12300,2,0,0,0.544648,0.571515
OAT,OAT/CACHE_LINE_BYTES=64,"{""CACHE_LINE_BYTES"": 64}",matmul8,PASS,7780,13671,0.569088,85,2717,3,1077,12,0.544648,0.571515
OAT,OAT/CACHE_LINE_BYTES=64,"{""CACHE_LINE_BYTES"": 64}",mem_stream,PASS,98568,165065,0.597147,146,32978,2,32753,16,0.544648,0.571515
OAT,OAT/CACHE_LINE_BYTES=64,"{""CACHE_LINE_BYTES"": 64}",mix_bench,PASS,47269,114795,0.411769,6124,22540,2,8184,8,0.544648,0.571515
OAT,OAT/DCACHE_SETS=8,"{""DCACHE_SETS"": 8}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_SETS=8,"{""DCACHE_SETS"": 8}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_SETS=8,"{""DCACHE_SETS"": 8}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_SETS=8,"{""DCACHE_SETS"": 8}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_SETS=8,"{""DCACHE_SETS"": 8}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_SETS=8,"{""DCACHE_SETS"": 8}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_SETS=8,"{""DCACHE_SETS"": 8}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_SETS=16,"{""DCACHE_SETS"": 16}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_SETS=16,"{""DCACHE_SETS"": 16}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_SETS=16,"{""DCACHE_SETS"": 16}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_SETS=16,"{""DCACHE_SETS"": 16}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_SETS=16,"{""DCACHE_SETS"": 16}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_SETS=16,"{""DCACHE_SETS"": 16}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_SETS=16,"{""DCACHE_SETS"": 16}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
